2024-07-08 00:06:38,184 | INPUT : (+ a b)
2024-07-08 00:06:38,184 | Variable 'a' no definida
2024-07-08 00:06:38,184 | Variable 'b' no definida
2024-07-08 00:06:38,185 | Esta operacion solo puede realizarse entre numeros
2024-07-08 00:06:38,185 | None
2024-07-08 00:06:52,942 | INPUT : (+ a b)
2024-07-08 00:06:52,943 | Variable 'a' no definida
2024-07-08 00:06:52,944 | Variable 'b' no definida
2024-07-08 00:06:52,944 | Esta operacion solo puede realizarse entre numeros
2024-07-08 00:06:52,945 | None
2024-07-08 00:06:56,688 | INPUT : (def a 3)
2024-07-08 00:06:56,690 | None
2024-07-08 00:06:58,061 | INPUT : (+ a b)
2024-07-08 00:06:58,061 | Variable 'b' no definida
2024-07-08 00:06:58,062 | Esta operacion solo puede realizarse entre numeros
2024-07-08 00:06:58,063 | None
2024-07-08 00:07:03,014 | INPUT : (def b 3)
2024-07-08 00:07:03,015 | None
2024-07-08 00:07:04,516 | INPUT : (+ a b)
2024-07-08 00:07:04,517 | None
2024-07-08 00:07:10,971 | INPUT : (+ a "asdas")
2024-07-08 00:07:10,972 | Syntax error at line 1, position 12: Unexpected token ')'
2024-07-08 00:07:10,972 | None
2024-07-08 00:07:16,376 | INPUT : (+ a "asdas" )
2024-07-08 00:07:16,376 | Syntax error at line 1, position 13: Unexpected token ')'
2024-07-08 00:07:16,377 | None
2024-07-08 00:07:22,821 | INPUT : (+ a "s" )
2024-07-08 00:07:22,822 | Syntax error at line 1, position 9: Unexpected token ')'
2024-07-08 00:07:22,822 | None
2024-07-08 00:07:32,527 | INPUT : (def x "asda)
2024-07-08 00:07:32,529 | Variable 'asda' no definida
2024-07-08 00:07:32,530 | None
2024-07-08 00:07:36,820 | INPUT : (def x "asda")
2024-07-08 00:07:36,820 | Syntax error at line 1, position 13: Unexpected token ')'
2024-07-08 00:07:36,821 | None
2024-07-08 00:08:09,668 | INPUT : (def x "asda")
2024-07-08 00:08:09,669 | Syntax error at line 1, position 13: Unexpected token ')'
2024-07-08 00:08:09,669 | None
