2024-07-07 23:45:26,014 | INPUT : a = 3
2024-07-07 23:45:26,015 | Syntax error at line 1, position 2: Unexpected token '='
2024-07-07 23:45:26,016 | None
2024-07-07 23:45:48,311 | INPUT : (def a 3)
2024-07-07 23:45:48,312 | None
2024-07-07 23:46:13,110 | INPUT : (def b 55)
2024-07-07 23:46:13,111 | None
2024-07-07 23:46:44,725 | INPUT : (+a b)
2024-07-07 23:46:44,725 | None
2024-07-07 23:46:53,665 | INPUT : (+a b c)
2024-07-07 23:46:53,666 | Syntax error at line 1, position 6: Unexpected token 'c'
2024-07-07 23:46:53,666 | None
2024-07-07 23:46:58,623 | INPUT : (+b c)
2024-07-07 23:46:58,624 | None
2024-07-07 23:47:03,835 | INPUT : (+ b c)
2024-07-07 23:47:03,836 | None
