2024-07-08 00:11:25,853 | INPUT : (* 6 6)
2024-07-08 00:11:25,856 | None
2024-07-08 00:11:27,194 | INPUT : (- 6 6)
2024-07-08 00:11:27,195 | None
2024-07-08 00:11:30,343 | INPUT : (def x 5 )
2024-07-08 00:11:30,345 | None
2024-07-08 00:11:35,224 | INPUT : (- 6 6)
2024-07-08 00:11:35,225 | None
2024-07-08 00:11:39,050 | INPUT : (* 8 6)
2024-07-08 00:11:39,051 | None
2024-07-08 00:11:54,744 | INPUT : (print (3,4,5))
2024-07-08 00:11:54,745 | Syntax error at line 1, position 7: Unexpected token '('
