2024-07-07 23:56:35,229 | INPUT : (+ a b)
2024-07-07 23:56:35,229 | Variable 'a' no definida
2024-07-07 23:56:35,230 | Variable 'b' no definida
2024-07-07 23:56:35,230 | None
2024-07-07 23:56:49,969 | INPUT : (def a 3)
2024-07-07 23:56:49,971 | None
2024-07-07 23:56:55,137 | INPUT : (def b 4)
2024-07-07 23:56:55,138 | None
2024-07-07 23:56:56,912 | INPUT : (+ a b)
2024-07-07 23:56:56,913 | None
2024-07-07 23:57:04,559 | INPUT : (< a c)
2024-07-07 23:57:04,560 | Variable 'c' no definida
2024-07-07 23:57:04,560 | None
2024-07-07 23:57:07,441 | INPUT : (< a b)
2024-07-07 23:57:07,442 | None
