2024-07-07 10:49:23,273 | INPUT : (< 8 6)
2024-07-07 10:49:23,275 | None
2024-07-07 10:49:45,692 | INPUT : (> 8 6 )
2024-07-07 10:49:45,693 | None
2024-07-07 10:50:02,493 | INPUT : ( & 2 3)
2024-07-07 10:50:02,494 | Syntax error at line 1, position 4: Unexpected token '2'
2024-07-07 10:50:02,496 | None
2024-07-07 10:50:11,022 | INPUT : ( = 8 6)
2024-07-07 10:50:11,023 | None
2024-07-07 10:50:37,032 | INPUT : ( + 6 5)
2024-07-07 10:50:37,033 | None
2024-07-07 10:50:41,338 | INPUT : ( * 8 6)
2024-07-07 10:50:41,339 | Syntax error at line 1, position 2: Unexpected token '*'
2024-07-07 10:50:41,341 | None
2024-07-07 10:50:49,396 | INPUT : (< 4 5)
2024-07-07 10:50:49,397 | None
