2024-07-07 10:47:34,579 | INPUT : ( * 8 6 )
2024-07-07 10:47:34,580 | Syntax error at line 1, position 2: Unexpected token '*'
2024-07-07 10:47:34,581 | None
2024-07-07 10:47:36,182 | INPUT : ( + 6 8 )
2024-07-07 10:47:36,183 | None
2024-07-07 10:47:38,370 | INPUT : (/ 8 6)
2024-07-07 10:47:38,371 | None
2024-07-07 10:47:40,598 | INPUT : (- 8 6)
2024-07-07 10:47:40,599 | Syntax error at line 1, position 1: Unexpected token '-'
2024-07-07 10:47:40,601 | None
2024-07-07 10:48:00,276 | INPUT : ( + ( + 8 6 ) ( + 6 8))
2024-07-07 10:48:00,277 | None
